source,pages,vertices,edges,tikz,tex,svg_structural,json,dot,mermaid,drawio_svg,png,pdf,graphviz_svg,drawio_svg_exists,png_exists,pdf_exists,graphviz_svg_exists
260420-fnd-controller.drawio,1,37,39,tikz/260420-fnd-controller.tikz,tex/260420-fnd-controller.tex,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260420-fnd-controller.structural.svg,json/260420-fnd-controller.json,dot/260420-fnd-controller.dot,mermaid/260420-fnd-controller.mmd,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260420-fnd-controller.drawio.svg,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/png/260420-fnd-controller.png,pdf/260420-fnd-controller.pdf,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/graphviz-svg/260420-fnd-controller.svg,yes,yes,yes,yes
260420-input-conditioning.drawio,1,21,14,tikz/260420-input-conditioning.tikz,tex/260420-input-conditioning.tex,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260420-input-conditioning.structural.svg,json/260420-input-conditioning.json,dot/260420-input-conditioning.dot,mermaid/260420-input-conditioning.mmd,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260420-input-conditioning.drawio.svg,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/png/260420-input-conditioning.png,pdf/260420-input-conditioning.pdf,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/graphviz-svg/260420-input-conditioning.svg,yes,yes,yes,yes
260420-status.drawio,2,29,23,tikz/260420-status.tikz,tex/260420-status.tex,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260420-status.structural.svg,json/260420-status.json,dot/260420-status.dot,mermaid/260420-status.mmd,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260420-status.drawio.svg,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/png/260420-status.png,pdf/260420-status.pdf,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/graphviz-svg/260420-status.svg,yes,yes,yes,yes
260420-time-fsm.drawio,1,11,9,tikz/260420-time-fsm.tikz,tex/260420-time-fsm.tex,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260420-time-fsm.structural.svg,json/260420-time-fsm.json,dot/260420-time-fsm.dot,mermaid/260420-time-fsm.mmd,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260420-time-fsm.drawio.svg,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/png/260420-time-fsm.png,pdf/260420-time-fsm.pdf,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/graphviz-svg/260420-time-fsm.svg,yes,yes,yes,yes
260420-timepiece.drawio,1,40,30,tikz/260420-timepiece.tikz,tex/260420-timepiece.tex,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260420-timepiece.structural.svg,json/260420-timepiece.json,dot/260420-timepiece.dot,mermaid/260420-timepiece.mmd,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260420-timepiece.drawio.svg,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/png/260420-timepiece.png,pdf/260420-timepiece.pdf,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/graphviz-svg/260420-timepiece.svg,yes,yes,yes,yes
260420-timepiecer-datapath.drawio,1,37,24,tikz/260420-timepiecer-datapath.tikz,tex/260420-timepiecer-datapath.tex,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260420-timepiecer-datapath.structural.svg,json/260420-timepiecer-datapath.json,dot/260420-timepiecer-datapath.dot,mermaid/260420-timepiecer-datapath.mmd,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260420-timepiecer-datapath.drawio.svg,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/png/260420-timepiecer-datapath.png,pdf/260420-timepiecer-datapath.pdf,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/graphviz-svg/260420-timepiecer-datapath.svg,yes,yes,yes,yes
260420-timepiecer-fsm.drawio,1,17,15,tikz/260420-timepiecer-fsm.tikz,tex/260420-timepiecer-fsm.tex,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260420-timepiecer-fsm.structural.svg,json/260420-timepiecer-fsm.json,dot/260420-timepiecer-fsm.dot,mermaid/260420-timepiecer-fsm.mmd,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260420-timepiecer-fsm.drawio.svg,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/png/260420-timepiecer-fsm.png,pdf/260420-timepiecer-fsm.pdf,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/graphviz-svg/260420-timepiecer-fsm.svg,yes,yes,yes,yes
260420-timer-datapath.drawio,1,28,19,tikz/260420-timer-datapath.tikz,tex/260420-timer-datapath.tex,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260420-timer-datapath.structural.svg,json/260420-timer-datapath.json,dot/260420-timer-datapath.dot,mermaid/260420-timer-datapath.mmd,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260420-timer-datapath.drawio.svg,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/png/260420-timer-datapath.png,pdf/260420-timer-datapath.pdf,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/graphviz-svg/260420-timer-datapath.svg,yes,yes,yes,yes
260420-timer.drawio,1,27,19,tikz/260420-timer.tikz,tex/260420-timer.tex,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260420-timer.structural.svg,json/260420-timer.json,dot/260420-timer.dot,mermaid/260420-timer.mmd,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260420-timer.drawio.svg,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/png/260420-timer.png,pdf/260420-timer.pdf,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/graphviz-svg/260420-timer.svg,yes,yes,yes,yes
260420-top-timer-timepiece-project.drawio,1,28,32,tikz/260420-top-timer-timepiece-project.tikz,tex/260420-top-timer-timepiece-project.tex,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260420-top-timer-timepiece-project.structural.svg,json/260420-top-timer-timepiece-project.json,dot/260420-top-timer-timepiece-project.dot,mermaid/260420-top-timer-timepiece-project.mmd,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260420-top-timer-timepiece-project.drawio.svg,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/png/260420-top-timer-timepiece-project.png,pdf/260420-top-timer-timepiece-project.pdf,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/graphviz-svg/260420-top-timer-timepiece-project.svg,yes,yes,yes,yes
260420-uart-1.drawio,2,89,67,tikz/260420-uart-1.tikz,tex/260420-uart-1.tex,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260420-uart-1.structural.svg,json/260420-uart-1.json,dot/260420-uart-1.dot,mermaid/260420-uart-1.mmd,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260420-uart-1.drawio.svg,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/png/260420-uart-1.png,pdf/260420-uart-1.pdf,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/graphviz-svg/260420-uart-1.svg,yes,yes,yes,yes
260421-asm.drawio,3,106,87,tikz/260421-asm.tikz,tex/260421-asm.tex,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260421-asm.structural.svg,json/260421-asm.json,dot/260421-asm.dot,mermaid/260421-asm.mmd,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260421-asm.drawio.svg,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/png/260421-asm.png,pdf/260421-asm.pdf,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/graphviz-svg/260421-asm.svg,yes,yes,yes,yes
260422-uart-loopback.drawio,5,72,57,tikz/260422-uart-loopback.tikz,tex/260422-uart-loopback.tex,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260422-uart-loopback.structural.svg,json/260422-uart-loopback.json,dot/260422-uart-loopback.dot,mermaid/260422-uart-loopback.mmd,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260422-uart-loopback.drawio.svg,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/png/260422-uart-loopback.png,pdf/260422-uart-loopback.pdf,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/graphviz-svg/260422-uart-loopback.svg,yes,yes,yes,yes
260422-uart-rx-tx.drawio,2,17,16,tikz/260422-uart-rx-tx.tikz,tex/260422-uart-rx-tx.tex,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260422-uart-rx-tx.structural.svg,json/260422-uart-rx-tx.json,dot/260422-uart-rx-tx.dot,mermaid/260422-uart-rx-tx.mmd,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260422-uart-rx-tx.drawio.svg,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/png/260422-uart-rx-tx.png,pdf/260422-uart-rx-tx.pdf,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/graphviz-svg/260422-uart-rx-tx.svg,yes,yes,yes,yes
260422-uart-rx.drawio,1,2,1,tikz/260422-uart-rx.tikz,tex/260422-uart-rx.tex,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260422-uart-rx.structural.svg,json/260422-uart-rx.json,dot/260422-uart-rx.dot,mermaid/260422-uart-rx.mmd,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260422-uart-rx.drawio.svg,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/png/260422-uart-rx.png,pdf/260422-uart-rx.pdf,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/graphviz-svg/260422-uart-rx.svg,yes,yes,yes,yes
260506-control-unit.drawio,1,67,59,tikz/260506-control-unit.tikz,tex/260506-control-unit.tex,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260506-control-unit.structural.svg,json/260506-control-unit.json,dot/260506-control-unit.dot,mermaid/260506-control-unit.mmd,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/svg/260506-control-unit.drawio.svg,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/png/260506-control-unit.png,pdf/260506-control-unit.pdf,/Users/mumallaeng/Library/CloudStorage/GoogleDrive-yonnmilk@gmail.com/My Drive/Vault-Bridge/02-handoff/vault-media/activities/korcham/notes/drawio/converted/graphviz-svg/260506-control-unit.svg,yes,yes,yes,yes
